parent_id,total_signals,mean_demand_score,total_risk_score,total_activation_score,dominant_intent,positive_share,negative_share
-3-bVFiTTCE,10,0.22104827536479296,5,2,confusion_barrier,0.4,0.6
1gnE_NzfmSc,2,3.333773044716594,0,2,high_intent,1.0,0.0
1kmwpfq,2,2.6757791748631745,0,2,new_customer_interest,1.0,0.0
6g5otBrymgI,11,1.2737790246792753,4,3,general_discussion,0.6363636363636364,0.2727272727272727
78pm-aBw_Ck,12,2.132806165167444,1,11,new_customer_interest,0.75,0.16666666666666666
9d8LK9840IU,26,2.4938208752369966,3,20,nostalgia_reactivation,0.8076923076923077,0.11538461538461539
AaZjLq3cIpg,6,1.4348174145907808,1,5,high_intent,0.3333333333333333,0.5
G5_3qdf19BU,34,1.8791071679106364,5,21,high_intent,0.5882352941176471,0.17647058823529413
XO1PlvNN_7s,7,2.9214862528638696,1,6,high_intent,0.8571428571428571,0.0
Xt_hGLer2gk,12,1.8086731973797103,2,6,general_discussion,0.5,0.25
ZxKqFEAARYU,8,2.3762586647333834,4,3,frustrated_demand,0.875,0.125
_cyFXvII1sQ,1,2.8465735902799727,0,1,nostalgia_reactivation,1.0,0.0
bUM2sSVjCLQ,7,1.8926548732352286,1,6,nostalgia_reactivation,0.5714285714285714,0.42857142857142855
eFfZqeXbioU,15,1.9837766508314816,3,10,nostalgia_reactivation,0.8666666666666667,0.13333333333333333
gNVWtjbGWdw,31,1.5591357540185116,18,5,frustrated_demand,0.6451612903225806,0.22580645161290322
j2DSEkYFRh8,43,1.661871567617416,17,22,frustrated_demand,0.4418604651162791,0.37209302325581395
mU1zHAA9j8k,6,1.5661996516682473,1,3,general_discussion,0.8333333333333334,0.16666666666666666
nS1DfiJAtEk,23,0.8363976364301581,12,5,confusion_barrier,0.7391304347826086,0.17391304347826086
sz5gq0LgYWw,13,1.7659961357366973,4,5,frustrated_demand,0.5384615384615384,0.3076923076923077
wwgOM_BiRQo,5,1.5513429670971792,1,2,general_discussion,0.6,0.2
zux8BX6EuxI,24,1.3929038323594323,5,10,general_discussion,0.625,0.08333333333333333
,6,3.1536650317214145,1,5,nostalgia_reactivation,1.0,0.0
