week,video_spend,paid_search_spend,social_spend,price,promotion,event,seasonal_component,trend_component,noise,simulated_sales,data_type
0,24007.250924669897,11487.72279814255,9638.978948752507,59.34647972690667,1,0.0,0.0,0.0,-267.83642393569806,7145.724654530719,synthetic
1,15324.864153583216,13265.021357237883,4292.75842262047,59.27744185923587,0,0.0,48.21467210212922,6.0,358.1384684661009,7177.87166633439,synthetic
2,30172.840440409866,8075.569960734087,10286.2487087771,61.89843238224365,1,0.0,95.72626571502309,12.0,-397.64204960912144,7615.981659512565,synthetic
3,19209.931168265583,9612.294361867982,6566.826794658793,64.68689308005592,1,0.0,141.84195481701425,18.0,-227.9539633292711,7677.9095680810615,synthetic
4,28890.470029804525,14117.696282936002,7585.397062864209,64.67262317147788,0,0.0,185.8892688175074,24.0,45.73179010686716,7403.826419897649,synthetic
5,30405.620575388035,11065.31346947638,8036.021837077086,60.3070127253998,0,0.0,227.22589869246232,30.0,-202.33878954354157,7516.868877610005,synthetic
6,20603.354279040315,14724.552508976587,9003.53423635995,62.215579297986295,0,0.0,265.24906329631807,36.0,81.37061921008805,7760.964030055575,synthetic
7,17783.265132991688,16797.351735806842,9821.381717018729,58.308715545263446,1,0.0,299.4042992684404,42.0,374.81211365501036,9193.738425455693,synthetic
8,21177.094435921845,13847.86519291039,9380.154511244713,63.40475249756349,1,0.0,329.19354635746254,48.0,134.87183177011656,8664.229919775775,synthetic
9,22261.988361757645,11978.515939619172,9586.820897264266,59.89700351571467,0,0.0,354.18241026128396,54.0,294.438560651374,8112.86009785469,synthetic
10,24358.067310784456,9117.037071439889,9342.564017671692,60.96912707032486,0,0.0,374.0064970741659,60.0,299.3041955520559,8030.4335952979245,synthetic
11,31011.809551085204,9705.654424679364,9613.255007972748,60.054175130734365,0,0.0,388.3767269704208,66.0,255.9013894855628,8175.311710858787,synthetic
12,24758.610477880346,12220.493920823412,5061.606376531523,56.955518893556594,0,0.0,397.0835496392216,72.0,-642.7341488655211,7434.373937638658,synthetic
13,17134.67780160239,9947.731201318275,12319.004593820071,64.88390474510942,0,0.0,400.0,78.0,178.8083946201362,7746.166883476271,synthetic
14,11704.587919952786,11470.035931235057,5644.295295674092,60.95287093514696,1,0.0,397.0835496392216,84.0,-335.80928432051945,8125.489686816232,synthetic
15,19219.732509880432,7045.006022639299,6750.092056921064,61.279725098315865,1,0.0,388.37672697042086,90.0,-388.330255637943,7925.670782048509,synthetic
16,12339.737419277588,10790.075162484443,9133.663645015178,60.84796030387624,0,0.0,374.0064970741659,96.0,-43.48888977784951,7396.246880273705,synthetic
17,18830.09200262852,12738.101412447173,2811.8654802266683,59.31036255445482,0,0.0,354.18241026128396,102.0,-19.90888131137463,7503.207409300413,synthetic
18,14724.739992842944,10535.344361492287,8332.970301928472,59.52071109876374,0,0.0,329.1935463574626,108.0,22.410820832036265,7496.5347495173555,synthetic
19,12986.331118269401,8583.118909616556,5909.313794228298,56.711642934306006,0,0.0,299.4042992684405,114.0,-252.9149471372721,7191.741367743988,synthetic
20,21084.90476155195,10557.470252578332,4861.901206763676,58.66040191440652,0,1.0,265.24906329631807,120.0,-57.90814331237194,8885.084842129712,synthetic
21,22353.400696717927,8415.416149087758,5694.99931168039,53.719354348414186,0,1.0,227.22589869246232,126.0,-168.0520127218122,9053.53356853068,synthetic
22,14672.230824076556,12475.601103652256,6640.188048182896,62.16651909420632,0,0.0,185.88926881750763,132.0,-96.940423286366,7170.667607462629,synthetic
23,12548.6906133708,12267.799922897617,8488.823974966164,56.589064112840504,1,0.0,141.84195481701434,138.0,-62.65681467302894,8342.053730292302,synthetic
24,26449.98659668941,12920.855810426687,7567.807376446811,55.75031971426697,0,0.0,95.72626571502308,144.0,223.0820598158614,7966.065051667647,synthetic
25,21231.72620121831,10061.577335394219,12406.315897447817,60.088962930975484,0,0.0,48.21467210212923,150.0,-310.1948258354443,7188.457425808704,synthetic
26,28113.106538182925,8940.22176041044,3155.124559711775,61.45221374090826,0,0.0,-1.2864981197413094e-13,156.0,25.60924486107638,7350.362458350929,synthetic
27,18215.18275640899,12210.427231950544,9458.84392679179,64.22760509906918,0,0.0,-48.21467210212913,162.0,-69.4127237762987,7123.0513314682985,synthetic
28,21205.562456580476,12734.902195487324,6391.618870453519,57.934826283756344,0,0.0,-95.72626571502298,168.0,176.27897005594025,7669.958076834738,synthetic
29,27826.077100930128,14085.987688300385,10495.667825633622,62.73056187371288,0,0.0,-141.84195481701425,174.0,172.03585804132024,7566.420749838945,synthetic
30,37620.21412050103,12809.883475880066,5951.827253477897,61.00989278023078,0,0.0,-185.88926881750723,180.0,-106.25794907701331,7457.186354081859,synthetic
31,27227.45385092774,20009.31604405093,11702.955791724991,59.28980483264267,0,0.0,-227.22589869246224,186.0,-187.85801204830847,7618.725993472732,synthetic
32,28631.861481389373,15524.37320482817,12459.085808485424,60.22356937622282,0,0.0,-265.249063296318,192.0,61.794830467087976,7778.357827426032,synthetic
33,18119.525674430748,16281.88304932036,11132.31008922413,58.67599811441215,0,0.0,-299.4042992684404,198.0,261.2210521228167,7890.987989472984,synthetic
34,26380.84970324205,14131.849772306838,10444.513826771416,59.22952801554423,0,0.0,-329.19354635746254,204.0,157.12359663429416,7710.8616746859325,synthetic
35,24062.66782899474,16897.771912338416,10223.667451818232,63.468751913474314,0,0.0,-354.18241026128385,210.0,606.209173771204,7926.863697868133,synthetic
36,17372.391189080266,11791.813491894098,5255.100884169629,58.79770097837491,1,0.0,-374.0064970741659,216.0,-103.96921416033904,8064.773173861615,synthetic
37,29239.44515725942,16683.79430033445,9656.769003691552,67.29612714250084,0,0.0,-388.3767269704208,222.0,-294.7784165071682,6730.834520999442,synthetic
38,24449.814761494566,19383.43085222657,4867.9939667530525,65.32060935279183,0,0.0,-397.0835496392216,228.0,281.7351449851314,7396.418865570918,synthetic
39,26211.7198165409,11654.201630725725,5643.932575964096,61.8886934745577,0,0.0,-400.0,234.0,157.76722401753153,7337.17290479089,synthetic
40,14988.764059938898,11515.82600780893,5499.9457811971515,56.30130095065239,0,0.0,-397.0835496392216,240.0,110.81392445498626,7387.701341591948,synthetic
41,23068.51958422577,10146.69181996312,9222.977652727863,58.24446445851906,1,0.0,-388.37672697042086,246.0,-295.6886082253403,7845.06928546333,synthetic
42,16242.657152256957,13922.589670726542,8906.745390211825,58.66249010684541,0,0.0,-374.0064970741659,252.0,-90.0086641545729,7160.735748990316,synthetic
43,27507.548190925838,8868.108300732481,8762.692263152092,60.52778154120762,0,0.0,-354.1824102612841,258.0,-202.88391928487817,6996.473950504551,synthetic
44,12635.98564385681,12448.339024122462,5652.530786062929,59.76498577897684,0,0.0,-329.1935463574628,264.0,-291.1526268693945,6823.723446614054,synthetic
45,16900.366898856468,7934.869820943112,8172.897490895881,58.66623115291265,0,0.0,-299.4042992684404,270.0,-137.3762350556403,6947.359795048289,synthetic
46,17900.733017965777,13338.238125408685,5084.133257458601,60.24934510611237,0,0.0,-265.2490632963182,276.0,47.53030840612341,7160.601213743663,synthetic
47,11802.11628419151,6631.232904046514,4713.855414687872,62.31747211396634,0,0.0,-227.22589869246238,282.0,-203.55514505159618,6509.439541469365,synthetic
48,18625.756000204852,14235.328460828865,9111.439146155943,64.96929951024626,0,0.0,-185.88926881750737,288.0,307.7993519179509,7255.463574809347,synthetic
49,22253.688450882975,13089.801525315983,7141.500658311811,62.02456424679903,1,0.0,-141.84195481701437,294.0,-276.38086955529246,7891.913289612913,synthetic
50,24926.163695687894,10511.101381946553,4460.529943782659,62.19931158944517,0,0.0,-95.72626571502312,300.0,231.02720915237305,7520.95172445392,synthetic
51,16891.43819270348,11142.35667523166,7832.75547107583,64.15774022248821,1,0.0,-48.214672102129455,306.0,-301.7894595594466,7804.686919684024,synthetic
52,22592.14081525106,15195.735136346386,1438.7988037324485,58.99622409599139,0,0.0,2.5729962394826187e-13,312.0,152.68312045844354,7711.771838732412,synthetic
53,21705.64044813795,12008.799772518352,7851.002137288482,60.98005691701048,1,0.0,48.214672102129256,318.0,345.68931543456955,8820.592739226007,synthetic
54,29580.832251561646,13086.025369642348,12382.145091815544,61.08264927002893,0,0.0,95.72626571502293,324.0,126.63961392378876,8015.945428221713,synthetic
55,27058.343206296086,11343.74032840737,9127.27218011522,57.07922325661831,0,0.0,141.8419548170142,330.0,131.82406531941282,8283.647079777758,synthetic
56,18628.61394196817,21567.507621998022,12382.244392303011,60.53969267508456,0,0.0,185.88926881750717,336.0,193.35485174193437,8339.814995722007,synthetic
57,17062.5614396963,17081.25875651716,8844.68470254618,60.9390922174358,1,0.0,227.22589869246218,342.0,373.6977740499094,9288.742459888577,synthetic
58,28330.010850785264,10818.98466855666,4199.98589382825,58.110285587667875,0,1.0,265.24906329631807,348.0,81.02913722583165,9685.838145727954,synthetic
59,30371.472106400994,11584.649406804185,7758.305901667045,64.01131689314745,0,1.0,299.4042992684403,354.0,-76.68821900185178,9339.875607595168,synthetic
60,27197.813253081276,13076.387253372355,9243.04898707845,58.98079114461066,1,0.0,329.1935463574623,360.0,-293.3432702700157,8916.043999412917,synthetic
61,25602.50199300776,18003.500822931997,6348.105556616095,59.721611588656,0,0.0,354.18241026128396,366.0,411.0392548893369,8765.783998489806,synthetic
