target,model,origin,horizon_step,period_index,actual,forecast,lower,upper,signed_error,absolute_error,interval_hit,interval_width,rolling_mae,rolling_bias,rolling_wape
actionable_probability_mass,bayesian,204,1,204,0.0,0.6171480013320413,0.0,1.851449345080326,0.6171480013320413,0.6171480013320413,1,1.851449345080326,0.6171480013320413,0.6171480013320413,
actionable_probability_mass,bayesian,204,2,205,0.4977694258197623,0.6190834754201382,0.0,1.8931061122033324,0.1213140496003759,0.1213140496003759,1,1.8931061122033324,0.36923102546620856,0.36923102546620856,1.4835424046309493
actionable_probability_mass,bayesian,206,1,206,7.045440697420234,0.6218044087262756,0.0,1.9235560818292403,-6.423636288693958,6.423636288693958,0,1.9235560818292403,2.3873661132087918,-1.8950580792538467,0.9494761809114335
actionable_probability_mass,bayesian,206,2,207,22.273457775449653,0.6246138233232733,0.0,1.8796184354848928,-21.64884395212638,21.64884395212638,0,1.8796184354848928,7.202735572938189,-6.83350454747198,0.9662696847832184
actionable_probability_mass,bayesian,208,1,208,5.128998030113391,1.3180274963009342,0.0,4.054579552095333,-3.8109705338124567,3.8109705338124567,0,4.054579552095333,8.001191206058293,-7.940534181258105,0.9158436096035043
actionable_probability_mass,bayesian,208,2,209,26.13530330444996,1.3814285216407503,0.0,4.244743105061263,-24.75387478280921,24.75387478280921,0,4.244743105061263,14.159331389360503,-14.1593313893605,0.9348685070690657
actionable_probability_mass,exponential_smoothing,12,1,12,0.0,0.7507969750384951,0.0,1.406479430046784,0.7507969750384951,0.7507969750384951,1,1.406479430046784,0.7507969750384951,0.7507969750384951,
actionable_probability_mass,exponential_smoothing,12,2,13,0.4747068174892888,0.7507969750384951,0.0,1.6780719955213041,0.2760901575492063,0.2760901575492063,1,1.6780719955213041,0.5134435662938507,0.5134435662938507,2.1632028333169493
actionable_probability_mass,exponential_smoothing,14,1,14,0.0,0.47470681041560614,0.0,1.0904619198001897,0.47470681041560614,0.47470681041560614,1,1.0904619198001897,0.5005313143344359,0.5005313143344359,3.1632028184157885
actionable_probability_mass,exponential_smoothing,14,2,15,0.0,0.47470681041560614,0.0,1.3455160372078128,0.47470681041560614,0.47470681041560614,1,1.3455160372078128,0.4940751883547284,0.4940751883547284,4.163202803514627
actionable_probability_mass,exponential_smoothing,16,1,16,0.0,1.05406086173955e-16,0.0,0.5754555942180001,1.05406086173955e-16,1.05406086173955e-16,1,0.5754555942180001,0.30637594459510464,0.30637594459510464,2.581601386856153
actionable_probability_mass,exponential_smoothing,16,2,17,0.0,1.05406086173955e-16,0.0,0.8138171058865641,1.05406086173955e-16,1.05406086173955e-16,1,0.8138171058865641,0.23735340520780313,0.23735340520780313,
actionable_probability_mass,exponential_smoothing,18,1,18,0.8775562599634154,2.3404852761189643e-32,0.0,0.5351560790514169,-0.8775562599634154,0.8775562599634154,0,0.5351560790514169,0.33806576759475543,-0.10071236238695225,1.540941740231443
actionable_probability_mass,exponential_smoothing,18,2,19,0.0,2.3404852761189643e-32,0.0,0.7568249849809221,2.3404852761189643e-32,2.3404852761189643e-32,1,0.7568249849809221,0.2193890649908539,-0.21938906499085378,1.0000000000000002
actionable_probability_mass,exponential_smoothing,20,1,20,0.0,1.3076607091528298e-08,0.0,0.6836636546126206,1.3076607091528298e-08,1.3076607091528298e-08,1,0.6836636546126206,0.21938906826000565,-0.21938906172170203,1.0000000149011612
actionable_probability_mass,exponential_smoothing,20,2,21,0.0,1.3076607091528298e-08,0.0,0.9668464070382154,1.3076607091528298e-08,1.3076607091528298e-08,1,0.9668464070382154,0.21938907152915738,-0.2193890584525503,1.000000029802322
actionable_probability_mass,exponential_smoothing,22,1,22,0.0,2.9035900553982637e-24,0.0,0.6560546245511668,2.9035900553982637e-24,2.9035900553982637e-24,1,0.6560546245511668,6.53830354576415e-09,6.53830354576415e-09,
actionable_probability_mass,exponential_smoothing,22,2,23,0.0,2.9035900553982637e-24,0.0,0.927801347697849,2.9035900553982637e-24,2.9035900553982637e-24,1,0.927801347697849,6.538303545764151e-09,6.538303545764151e-09,
actionable_probability_mass,exponential_smoothing,24,1,24,0.0,6.447265067151572e-40,0.0,0.6157551093845831,6.447265067151572e-40,6.447265067151572e-40,1,0.6157551093845831,3.269151772882076e-09,3.269151772882076e-09,
actionable_probability_mass,exponential_smoothing,24,2,25,0.0,6.447265067151572e-40,0.0,0.8708092267922062,6.447265067151572e-40,6.447265067151572e-40,1,0.8708092267922062,1.4517950283194082e-24,1.4517950283194082e-24,
actionable_probability_mass,exponential_smoothing,26,1,26,0.0,1.4315804246826263e-55,0.0,0.575455594218,1.4315804246826263e-55,1.4315804246826263e-55,1,0.575455594218,7.258975144698423e-25,7.258975144698423e-25,
actionable_probability_mass,exponential_smoothing,26,2,27,0.0,1.4315804246826263e-55,0.0,0.813817105886564,1.4315804246826263e-55,1.4315804246826263e-55,1,0.813817105886564,6.202763642585101e-34,6.202763642585101e-34,
actionable_probability_mass,exponential_smoothing,28,1,28,0.0,3.178747098170623e-71,0.0,0.5351560790514169,3.178747098170623e-71,3.178747098170623e-71,1,0.5351560790514169,6.202762030768834e-34,6.202762030768834e-34,
actionable_probability_mass,exponential_smoothing,28,2,29,0.0,3.178747098170623e-71,0.0,0.7568249849809221,3.178747098170623e-71,3.178747098170623e-71,1,0.7568249849809221,6.202760418952567e-34,6.202760418952567e-34,
actionable_probability_mass,exponential_smoothing,30,1,30,0.0,7.058236435698857e-87,0.0,0.49485656388483396,7.058236435698857e-87,7.058236435698857e-87,1,0.49485656388483396,6.202760418952567e-34,6.202760418952567e-34,
actionable_probability_mass,exponential_smoothing,30,2,31,0.0,7.058236435698857e-87,0.0,0.6998328640752801,7.058236435698857e-87,7.058236435698857e-87,1,0.6998328640752801,6.202760418952567e-34,6.202760418952567e-34,
