model,seed,evaluation_mode,evaluation_status,selected_threshold,threshold_objective,calibrated,stage1_accuracy,stage1_precision,stage1_recall,stage1_f1,stage1_roc_auc,stage1_pr_auc,stage1_brier,stage1_ece,stage2_macro_f1,stage2_accuracy,flat_accuracy,flat_macro_f1,flat_weighted_f1,e2e_accuracy,e2e_macro_f1,e2e_weighted_f1,notes,precision_at_10,recall_at_10,lift_at_10,precision_at_25,recall_at_25,lift_at_25,precision_at_5pct,recall_at_5pct,lift_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct
majority,42,group_holdout,development_preliminary,0.2898550714637681,f1,False,0.3103448275862069,0.3103448275862069,1.0,0.47368421052631576,0.5,0.3103448275862069,0.21445074564167188,0.020489755122438724,0.0,0.0,0.6896551724137931,0.20408163265306123,0.5629838142153413,0.0,0.0,0.0,,0.1,0.1111111111111111,0.32222222222222224,0.28,0.7777777777777778,0.9022222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rules,42,group_holdout,development_preliminary,0.142860569129856,f1,True,0.8275862068965517,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7527777777777777,0.6008939974457217,0.14919150796965464,0.059113480907704116,0.12,0.3333333333333333,0.7586206896551724,0.2858350951374207,0.741124152511482,0.7586206896551724,0.2858350951374207,0.741124152511482,,0.5,0.5555555555555556,1.6111111111111112,0.32,0.8888888888888888,1.031111111111111,1.0,0.1111111111111111,3.2222222222222223,0.6666666666666666,0.2222222222222222,2.148148148148148,0.8333333333333334,0.5555555555555556,2.685185185185185
logistic,42,group_holdout,development_preliminary,0.4570716003446549,f1,False,0.6896551724137931,0.5,0.7777777777777778,0.6086956521739131,0.8111111111111111,0.7574157868275517,0.21038129291430352,0.19984352292862193,0.2,0.6666666666666666,0.7241379310344828,0.3295454545454546,0.6849529780564263,0.5862068965517241,0.24268907563025213,0.6259055346276441,,0.7,0.7777777777777778,2.2555555555555555,0.32,0.8888888888888888,1.031111111111111,1.0,0.1111111111111111,3.2222222222222223,1.0,0.3333333333333333,3.2222222222222223,0.8333333333333334,0.5555555555555556,2.685185185185185
linear_svm,42,group_holdout,development_preliminary,0.33729010553366384,f1,True,0.6551724137931034,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.8388888888888888,0.7879227053140097,0.1557464581829799,0.16257102829308,0.15384615384615385,0.4444444444444444,0.7241379310344828,0.3065217391304348,0.6662668665667166,0.5172413793103449,0.21617647058823533,0.5773326572008114,,0.7,0.7777777777777778,2.2555555555555555,0.36,1.0,1.16,1.0,0.1111111111111111,3.2222222222222223,1.0,0.3333333333333333,3.2222222222222223,0.8333333333333334,0.5555555555555556,2.685185185185185
char_word_svm,42,group_holdout,development_preliminary,0.3264922871399178,f1,True,0.7241379310344828,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.8555555555555555,0.8026315789473686,0.15210389010763353,0.1445725395525921,0.2,0.6666666666666666,0.7586206896551724,0.3173913043478261,0.6962518740629685,0.6206896551724138,0.25555555555555554,0.6570881226053641,,0.6,0.6666666666666666,1.9333333333333331,0.36,1.0,1.16,1.0,0.1111111111111111,3.2222222222222223,1.0,0.3333333333333333,3.2222222222222223,0.8333333333333334,0.5555555555555556,2.685185185185185
majority,43,group_holdout,development_preliminary,0.30534351045038166,f1,False,0.275,0.275,1.0,0.43137254901960786,0.5,0.275,0.20029572868713946,0.030343511450381666,0.08571428571428572,0.2727272727272727,0.725,0.1400966183574879,0.6094202898550725,0.075,0.023255813953488372,0.010465116279069767,,0.1,0.09090909090909091,0.36363636363636365,0.32,0.7272727272727273,1.1636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.09090909090909091,0.45454545454545453
rules,43,group_holdout,development_preliminary,0.17391518971366943,f1,True,0.85,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8119122257053292,0.6039256198347107,0.12847945276599732,0.08025109990992647,0.5499999999999999,0.6363636363636364,0.825,0.6613300492610837,0.8160714285714284,0.825,0.6613300492610837,0.8160714285714284,,0.8,0.7272727272727273,2.909090909090909,0.36,0.8181818181818182,1.3090909090909089,0.5,0.09090909090909091,1.8181818181818181,0.75,0.2727272727272727,2.727272727272727,0.875,0.6363636363636364,3.1818181818181817
logistic,43,group_holdout,development_preliminary,0.49544542824021176,f1,False,0.8,0.6,0.8181818181818182,0.6923076923076923,0.8683385579937304,0.6829856517022292,0.21548849335395204,0.2729478731626073,0.3365079365079365,0.45454545454545453,0.725,0.28281724347298115,0.6813661202185791,0.675,0.35626102292768963,0.6973544973544973,,0.7,0.6363636363636364,2.545454545454545,0.4,0.9090909090909091,1.4545454545454546,0.5,0.09090909090909091,1.8181818181818181,0.5,0.18181818181818182,1.8181818181818181,0.75,0.5454545454545454,2.727272727272727
linear_svm,43,group_holdout,development_preliminary,0.4222242547248248,f1,True,0.825,0.6428571428571429,0.8181818181818182,0.72,0.8620689655172413,0.6665369657080887,0.14012982226076365,0.11335277957421742,0.4222222222222222,0.5454545454545454,0.75,0.2914141414141414,0.6826515151515151,0.7,0.36340326340326334,0.7141375291375291,,0.6,0.5454545454545454,2.1818181818181817,0.44,1.0,1.5999999999999999,0.5,0.09090909090909091,1.8181818181818181,0.75,0.2727272727272727,2.727272727272727,0.625,0.45454545454545453,2.2727272727272725
char_word_svm,43,group_holdout,development_preliminary,0.26025315930397613,f1,True,0.775,0.5625,0.8181818181818182,0.6666666666666666,0.8746081504702194,0.683306340124522,0.1378159907629172,0.13971732658428127,0.5333333333333333,0.7272727272727273,0.775,0.31094527363184077,0.7026119402985074,0.725,0.4439203354297694,0.7227201257861635,,0.6,0.5454545454545454,2.1818181818181817,0.44,1.0,1.5999999999999999,0.5,0.09090909090909091,1.8181818181818181,0.75,0.2727272727272727,2.727272727272727,0.625,0.45454545454545453,2.2727272727272725
majority,44,group_holdout,development_preliminary,0.27857142757142855,f1,False,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5,0.35714285714285715,0.23576530612244898,0.07857142857142857,0.0,0.0,0.6428571428571429,0.1956521739130435,0.5031055900621119,0.0,0.0,0.0,,0.2,0.2,0.56,0.36,0.9,1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1,0.4666666666666666
rules,44,group_holdout,development_preliminary,0.14289149006705043,f1,True,0.75,0.8,0.4,0.5333333333333333,0.6722222222222222,0.5342857142857144,0.1993334274241807,0.10989120769692202,0.10909090909090909,0.3,0.7142857142857143,0.2658536585365853,0.6759581881533101,0.7142857142857143,0.2658536585365853,0.6759581881533101,,0.4,0.4,1.12,0.36,0.9,1.008,1.0,0.1,2.8,0.6666666666666666,0.2,1.8666666666666665,0.6666666666666666,0.4,1.8666666666666665
logistic,44,group_holdout,development_preliminary,0.5107173017225595,f1,False,0.7857142857142857,1.0,0.4,0.5714285714285714,0.7944444444444445,0.7789706589706589,0.22199207367951582,0.272738542808625,0.20588235294117646,0.7,0.75,0.34566596194503174,0.694050135910601,0.75,0.3392857142857143,0.6938775510204082,,0.7,0.7,1.9599999999999997,0.36,0.9,1.008,1.0,0.1,2.8,1.0,0.3,2.8,0.6666666666666666,0.4,1.8666666666666665
linear_svm,44,group_holdout,development_preliminary,0.34810474836060046,f1,True,0.8214285714285714,0.7272727272727273,0.8,0.7619047619047619,0.8111111111111111,0.8047643097643097,0.15818074652078495,0.13080834230391739,0.20588235294117646,0.7,0.7142857142857143,0.30454545454545456,0.6402597402597403,0.75,0.3721804511278195,0.731471535982814,,0.7,0.7,1.9599999999999997,0.36,0.9,1.008,1.0,0.1,2.8,1.0,0.3,2.8,0.8333333333333334,0.5,2.3333333333333335
