record_id,text,corrected_label,actionable,source,parent_id,group_id_source,created_at,annotator_id,annotation_version,sample_strategy,original_rule_label,secondary_label,multi_intent_flag
UgzEp0_8DNh4V2Kvz2V4AaABAg,"#KHonSteam #Contest I love Kingdom Hearts with all my life, I listen to Yoko Shimomura’s music every single day and I decide to replay the whole franchise every now and then on multiple platforms. So excited to see Kingdom Hearts arriving on Steam so more people can get to experience this amazing franchise.",general_discussion,False,youtube,yt:G5_3qdf19BU,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgzpQmiS1KpiVQIfXNR4AaABAg,How I wish that there would be an MMO of Kingdom Hearts. Kind of like World of Warcraft where you can explore its universe.,general_discussion,False,youtube,yt:G5_3qdf19BU,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgxXg-DuEGCuVp5ZIW54AaABAg,I’m 15 minutes in and I have such monumental whiplash from all the jumping around I don’t even know if I want to finish the rest. I was hoping someone would finally explain it correctly but this just isn’t doing it for me. Maybe I’ll finish later.,general_discussion,False,youtube,yt:6g5otBrymgI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgwAAH3NCKMDftyLhsB4AaABAg,I love kingdom hearts so much 😭😭😭😭,general_discussion,False,youtube,yt:G5_3qdf19BU,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgwFpmEY4d6fAG8aaf14AaABAg,"fun fact the guy driving yozora at the end is 100% luxord's human form, which is a total brainfuck",high_intent,True,youtube,yt:nS1DfiJAtEk,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgwntBIJ9JUYc3_4b2N4AaABAg,I just don’t even care anymore I think we should just move on until they show something if we keep speculating we are just gonna keep giving are hopes up ngl😭,general_discussion,False,youtube,yt:wwgOM_BiRQo,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgxTOPM-LTGuiWn4Wdt4AaABAg,I've bought this series 3 times over when this comes out. Having it on steam with majority of my library just feels right.,high_intent,True,youtube,yt:G5_3qdf19BU,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgyS507TJ0UOrmssa3t4AaABAg,"Currently going through 1.5FM and was looking on consensus what to play in what order. Havent played 1 and 2 since launch, Chain of Memories I played on the GBA lmao. Taking longer that I expected because of the Synth grind.",confusion_barrier,True,youtube,yt:eFfZqeXbioU,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgwzIG9G-HLzq99GGoV4AaABAg,"Thank you for explaining the beauty of Kingdom Hearts, Battler Maboroshimiya",general_discussion,False,youtube,yt:6g5otBrymgI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
Ugz4FUR3Jb8Y-yNrr3p4AaABAg,You ever heard of or played an old ps1 squaresoft action adventure game called threads of fate. It could be considered a type of kingdom hearts prototype before kh existed.,general_discussion,False,youtube,yt:sz5gq0LgYWw,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgzFY9eT2qvXfCgp5_14AaABAg,You deserve way more subs,general_discussion,False,youtube,yt:9d8LK9840IU,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
Ugzf2oYw8Ygp8in2Y8t4AaABAg,I believe Master Odin will return I don't think he passed away he probably took another form or another body just like master Luxu,general_discussion,False,youtube,yt:zux8BX6EuxI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgyGizgfIMB9pZWi3nx4AaABAg,Subject X was busted out by Luxu. Literally Secret Report 1.,general_discussion,False,youtube,yt:zux8BX6EuxI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgxIztTO3gf0u5hLZw14AaABAg,KH4 is so cooked,general_discussion,False,youtube,yt:sz5gq0LgYWw,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgzpiD_0Up_0kUcGBHx4AaABAg,I want see how they handle yozora,general_discussion,False,youtube,yt:zux8BX6EuxI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
UgxQCQAxFMJeHWqMTfN4AaABAg,19:51 the left one looks like Kadaj with longer hair,general_discussion,False,youtube,yt:zux8BX6EuxI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
Ugy2LMcrQB_EzQcdRDd4AaABAg,Finalmente alguém falando a verdade sobre Kingdom Hearts,general_discussion,False,youtube,yt:6g5otBrymgI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
Ugzi2mRrHWurKeRdGMJ4AaABAg,❤❤❤❤❤❤,general_discussion,False,youtube,yt:zux8BX6EuxI,permalink_derived,,annotator_1,audit_v1_2025,recall,general_discussion,,
